from,to,t,l,k,flow
m1_in,m1_q_l2,1,l1,k1,95.169181
m1_q_l2,ss,1,l1,k1,95.169181
m5_in,m5_q_l2,1,l1,k5,95.05519
m5_q_l2,ss,1,l1,k5,95.05519
m4_in,m4_q_l2,1,l1,k4,91.723573
m4_q_l2,ss,1,l1,k4,91.723573
m2_in,m2_q_l2,1,l1,k2,83.047608
m2_q_l2,ss,1,l1,k2,83.047608
m3_in,m3_q_l2,1,l1,k3,66.489576
m3_q_l2,ss,1,l1,k3,66.489576
m9_in,m9_q_l1,1,l1,k3,28.91945
m9_q_l1,ss,1,l1,k3,28.91945
m9_in,m9_q_l1,1,l1,k5,23.021401
m9_q_l1,ss,1,l1,k5,23.021401
source,m5_in,2,l1,k2,14.953585
source,m6_in,2,l2,k5,14.883454
source,m3_in,1,l2,k3,14.855598
m3_in,m3_q_l1,1,l2,k3,14.855598
m3_q_l1,ss,1,l2,k3,14.855598
source,m7_in,1,l2,k1,14.836309
m7_in,m7_q_l1,1,l2,k1,14.836309
m7_q_l1,ss,1,l2,k1,14.836309
source,m7_in,2,l1,k5,14.835216
source,m1_in,1,l2,k2,14.807642
m1_in,m1_q_l1,1,l2,k2,14.807642
m1_q_l1,ss,1,l2,k2,14.807642
source,m2_in,2,l2,k4,14.4416
source,m10_in,1,l2,k4,14.319321
m10_in,m10_q_l2,1,l2,k4,14.319321
m10_q_l2,ss,1,l2,k4,14.319321
source,m8_in,1,l1,k3,14.275842
m8_in,m3_in,1,l1,k3,14.275842
source,m9_in,1,l2,k3,14.275766
m9_in,m9_q_l2,1,l2,k3,14.275766
m9_q_l2,ss,1,l2,k3,14.275766
source,m5_in,1,l1,k5,14.251325
source,m9_in,2,l1,k5,14.098717
source,m7_in,1,l1,k1,14.053416
m7_in,m1_in,1,l1,k1,14.053416
source,m7_in,1,l1,k5,14.019114
m7_in,m5_in,1,l1,k5,14.019114
source,m2_in,2,l2,k3,13.933892
source,m8_in,2,l2,k3,13.878568
source,m4_in,2,l1,k2,13.853268
source,m3_in,2,l2,k4,13.754568
source,m3_in,1,l1,k5,13.663092
m3_in,m5_in,1,l1,k5,13.663092
source,m7_in,2,l1,k4,13.658645
source,m9_in,2,l1,k3,13.593891
source,m6_in,1,l2,k4,13.544525
m6_in,m6_q_l1,1,l2,k4,13.544525
m6_q_l1,ss,1,l2,k4,13.544525
source,m2_in,1,l1,k2,13.494318
source,m6_in,1,l2,k2,13.465062
m6_in,m6_q_l2,1,l2,k2,13.465062
m6_q_l2,ss,1,l2,k2,13.465062
source,m4_in,1,l1,k5,13.423424
m4_in,m5_in,1,l1,k5,13.423424
source,m5_in,1,l2,k1,13.4167
m5_in,m5_q_l2,1,l2,k1,13.4167
m5_q_l2,ss,1,l2,k1,13.4167
source,m8_in,1,l2,k5,13.392433
m8_in,m8_q_l2,1,l2,k5,13.392433
m8_q_l2,ss,1,l2,k5,13.392433
source,m6_in,2,l1,k4,13.291126
source,m3_in,2,l1,k2,13.263408
source,m9_in,2,l1,k4,13.215041
source,m9_in,1,l2,k1,13.148437
m9_in,m9_q_l2,1,l2,k1,13.148437
m9_q_l2,ss,1,l2,k1,13.148437
source,m10_in,1,l1,k4,13.116443
m10_in,m4_in,1,l1,k4,13.116443
source,m10_in,1,l2,k1,13.079382
m10_in,m10_q_l1,1,l2,k1,13.079382
m10_q_l1,ss,1,l2,k1,13.079382
source,m7_in,1,l2,k4,13.069687
m7_in,m7_q_l1,1,l2,k4,13.069687
m7_q_l1,ss,1,l2,k4,13.069687
m9_in,m9_q_l1,1,l1,k2,12.827964
m9_q_l1,ss,1,l1,k2,12.827964
source,m8_in,2,l1,k2,12.809979
source,m9_in,1,l1,k2,12.650961
source,m4_in,1,l2,k2,12.636828
m4_in,m4_q_l1,1,l2,k2,12.636828
m4_q_l1,ss,1,l2,k2,12.636828
source,m5_in,2,l1,k4,12.625478
source,m8_in,1,l2,k1,12.53526
m8_in,m8_q_l2,1,l2,k1,12.53526
m8_q_l2,ss,1,l2,k1,12.53526
source,m9_in,2,l1,k1,12.51644
source,m9_in,1,l2,k4,12.50717
m9_in,m9_q_l1,1,l2,k4,12.50717
m9_q_l1,ss,1,l2,k4,12.50717
source,m10_in,2,l2,k3,12.447807
source,m8_in,1,l2,k2,12.418622
m8_in,m8_q_l2,1,l2,k2,12.418622
m8_q_l2,ss,1,l2,k2,12.418622
source,m1_in,2,l2,k1,12.379954
source,m7_in,2,l1,k1,12.31073
source,m1_in,2,l1,k2,12.290497
source,m2_in,1,l1,k3,12.244553
m2_in,m3_in,1,l1,k3,12.244553
source,m4_in,2,l1,k4,12.234164
source,m2_in,1,l1,k5,12.224434
m2_in,m5_in,1,l1,k5,12.224434
source,m1_in,1,l1,k5,12.19469
m1_in,m9_in,1,l1,k5,12.19469
source,m10_in,2,l1,k2,12.177576
source,m8_in,1,l2,k4,12.086974
m8_in,m8_q_l1,1,l2,k4,12.086974
m8_q_l1,ss,1,l2,k4,12.086974
source,m5_in,2,l1,k1,12.049588
source,m1_in,1,l1,k1,11.964692
source,m8_in,2,l2,k4,11.963113
source,m4_in,2,l2,k5,11.955295
source,m5_in,1,l1,k2,11.919703
m5_in,m2_in,1,l1,k2,11.919703
source,m5_in,2,l2,k1,11.917018
source,m1_in,1,l2,k3,11.848297
m1_in,m1_q_l2,1,l2,k3,11.848297
m1_q_l2,ss,1,l2,k3,11.848297
source,m3_in,2,l2,k3,11.813008
source,m4_in,1,l1,k4,11.746891
source,m4_in,1,l1,k1,11.693138
m4_in,m1_in,1,l1,k1,11.693138
source,m10_in,2,l1,k4,11.683839
source,m6_in,1,l1,k2,11.666246
source,m8_in,2,l1,k5,11.652615
source,m8_in,2,l2,k2,11.648724
source,m6_in,1,l2,k1,11.615643
m6_in,m6_q_l2,1,l2,k1,11.615643
m6_q_l2,ss,1,l2,k1,11.615643
m6_in,m2_in,1,l1,k2,11.489243
source,m10_in,2,l2,k1,11.359004
source,m2_in,1,l1,k1,11.34401
m2_in,m1_in,1,l1,k1,11.34401
source,m2_in,1,l2,k5,11.309761
m2_in,m2_q_l1,1,l2,k5,11.309761
m2_q_l1,ss,1,l2,k5,11.309761
source,m4_in,2,l1,k3,11.27249
source,m4_in,1,l1,k3,11.249035
m4_in,m9_in,1,l1,k3,11.249035
source,m3_in,1,l1,k1,11.23953
m3_in,m1_in,1,l1,k1,11.23953
source,m3_in,1,l2,k5,11.128945
m3_in,m3_q_l1,1,l2,k5,11.128945
m3_q_l1,ss,1,l2,k5,11.128945
source,m2_in,1,l1,k4,11.110235
m2_in,m4_in,1,l1,k4,11.110235
source,m3_in,2,l1,k3,11.030601
source,m7_in,2,l1,k3,11.006986
source,m4_in,2,l2,k1,10.944319
source,m5_in,2,l1,k5,10.931769
source,m4_in,1,l1,k2,10.859366
m4_in,m2_in,1,l1,k2,10.859366
source,m9_in,1,l1,k5,10.826711
source,m10_in,1,l2,k5,10.821755
m10_in,m10_q_l1,1,l2,k5,10.821755
m10_q_l1,ss,1,l2,k5,10.821755
source,m6_in,2,l2,k2,10.785515
source,m9_in,1,l2,k5,10.740638
m9_in,m9_q_l1,1,l2,k5,10.740638
m9_q_l1,ss,1,l2,k5,10.740638
source,m4_in,1,l2,k5,10.72457
m4_in,m4_q_l1,1,l2,k5,10.72457
m4_q_l1,ss,1,l2,k5,10.72457
source,m8_in,1,l1,k4,10.690037
m8_in,m4_in,1,l1,k4,10.690037
source,m9_in,1,l1,k3,10.65642
source,m7_in,1,l2,k3,10.64359
m7_in,m7_q_l2,1,l2,k3,10.64359
m7_q_l2,ss,1,l2,k3,10.64359
source,m10_in,1,l1,k1,10.622184
