from,to,t,l,k,flow
m1_in,m1_q_l2,2,l1,k1,103.21609
m3_in,m3_q_l2,2,l1,k3,101.71766
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_in,m4_q_l2,2,l1,k4,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_in,m2_q_l2,3,l1,k2,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,3,l1,k4,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_in,m1_q_l2,1,l1,k1,99.866219
m1_q_l2,ss,1,l1,k1,99.866219
m3_in,m3_q_l2,3,l1,k3,98.28234
m1_in,m1_q_l2,3,l1,k1,96.783913
m4_in,m4_q_l2,1,l1,k4,95.223113
m4_q_l2,ss,1,l1,k4,95.223113
m2_in,m2_q_l2,1,l1,k2,83.064873
m2_q_l2,ss,1,l1,k2,83.064873
m8_in,m8_q_l2,1,l2,k5,25.325736
m8_q_l2,ss,1,l2,k5,25.325736
m4_in,m4_q_l2,3,l2,k5,24.214188
m4_q_l2,ss,3,l2,k5,24.214188
m10_in,m10_q_l2,3,l2,k4,23.837325
m10_q_l2,ss,3,l2,k4,23.837325
m6_in,m6_q_l2,2,l2,k4,22.961695
m6_q_l2,ss,2,l2,k4,22.961695
m9_in,m9_q_l2,2,l2,k3,21.536734
m9_q_l2,ss,2,l2,k3,21.536734
m1_in,m1_q_l2,3,l2,k2,21.254715
m1_q_l2,ss,3,l2,k2,21.254715
m3_in,m3_q_l2,1,l2,k4,21.117368
m3_q_l2,ss,1,l2,k4,21.117368
m5_in,m5_q_l2,3,l2,k3,21.048501
m5_q_l2,ss,3,l2,k3,21.048501
m6_in,m6_q_l2,1,l2,k1,19.968806
m6_q_l2,ss,1,l2,k1,19.968806
m3_in,m3_q_l2,3,l2,k1,19.845233
m3_q_l2,ss,3,l2,k1,19.845233
m4_in,m4_q_l2,2,l2,k5,19.720704
m4_q_l2,ss,2,l2,k5,19.720704
m5_in,m5_q_l2,1,l2,k3,19.71168
m5_q_l2,ss,1,l2,k3,19.71168
m5_in,m5_q_l2,2,l2,k1,18.666266
m5_q_l2,ss,2,l2,k1,18.666266
m9_in,m9_q_l1,2,l1,k4,17.417838
m9_q_l1,ss,2,l1,k4,17.417838
m4_in,m4_q_l2,1,l2,k2,17.405763
m4_q_l2,ss,1,l2,k2,17.405763
m1_in,m1_q_l2,2,l2,k2,15.995139
m1_q_l2,ss,2,l2,k2,15.995139
source,m6_in,1,l1,k4,14.960863
m6_in,m4_in,1,l1,k4,14.960863
source,m3_in,2,l1,k2,14.953585
m3_in,m2_in,2,l1,k2,14.953585
source,m7_in,3,l1,k3,14.930333
m7_in,m3_in,3,l1,k3,14.930333
source,m6_in,3,l1,k2,14.890345
m6_in,m2_in,3,l1,k2,14.890345
source,m3_in,4,l2,k5,14.883454
source,m7_in,1,l1,k3,14.883285
m7_in,m3_in,1,l1,k3,14.883285
source,m2_in,1,l2,k3,14.855598
m2_in,m2_q_l2,1,l2,k3,14.855598
m2_q_l2,ss,1,l2,k3,14.855598
source,m4_in,1,l2,k1,14.836309
m4_in,m4_q_l2,1,l2,k1,14.836309
m4_q_l2,ss,1,l2,k1,14.836309
source,m4_in,2,l1,k5,14.835216
m4_in,m5_in,2,l1,k5,14.835216
source,m1_in,1,l2,k2,14.807642
m1_in,m1_q_l2,1,l2,k2,14.807642
m1_q_l2,ss,1,l2,k2,14.807642
source,m6_in,4,l2,k3,14.805822
source,m8_in,1,l2,k2,14.710461
m8_in,m8_q_l2,1,l2,k2,14.710461
m8_q_l2,ss,1,l2,k2,14.710461
source,m7_in,2,l2,k1,14.674943
m7_in,m7_q_l2,2,l2,k1,14.674943
m7_q_l2,ss,2,l2,k1,14.674943
source,m7_in,1,l2,k2,14.630045
m7_in,m7_q_l2,1,l2,k2,14.630045
m7_q_l2,ss,1,l2,k2,14.630045
source,m9_in,4,l1,k2,14.593452
source,m8_in,1,l2,k5,14.585097
source,m10_in,3,l1,k2,14.536971
m10_in,m2_in,3,l1,k2,14.536971
source,m8_in,4,l2,k3,14.482524
source,m10_in,4,l1,k3,14.443655
source,m1_in,4,l2,k4,14.4416
source,m8_in,2,l2,k1,14.40029
m8_in,m8_q_l2,2,l2,k1,14.40029
m8_q_l2,ss,2,l2,k1,14.40029
source,m9_in,3,l1,k1,14.376684
m9_in,m1_in,3,l1,k1,14.376684
source,m8_in,4,l2,k1,14.323507
source,m5_in,3,l2,k4,14.319321
m5_in,m5_q_l2,3,l2,k4,14.319321
m5_q_l2,ss,3,l2,k4,14.319321
source,m8_in,2,l1,k4,14.297637
m8_in,m4_in,2,l1,k4,14.297637
source,m4_in,3,l1,k3,14.275842
m4_in,m3_in,3,l1,k3,14.275842
source,m5_in,1,l2,k3,14.275766
source,m9_in,1,l1,k3,14.27455
source,m3_in,1,l1,k5,14.251325
m3_in,m5_in,1,l1,k5,14.251325
source,m9_in,1,l2,k5,14.201492
m9_in,m9_q_l2,1,l2,k5,14.201492
m9_q_l2,ss,1,l2,k5,14.201492
source,m6_in,3,l1,k5,14.183975
m6_in,m5_in,3,l1,k5,14.183975
source,m6_in,3,l1,k4,14.168323
m6_in,m4_in,3,l1,k4,14.168323
source,m10_in,2,l1,k1,14.121321
m10_in,m1_in,2,l1,k1,14.121321
source,m5_in,2,l1,k5,14.098717
source,m9_in,3,l1,k2,14.080111
source,m4_in,1,l1,k1,14.053416
m4_in,m1_in,1,l1,k1,14.053416
source,m9_in,2,l1,k2,14.04226
source,m4_in,1,l1,k5,14.019114
m4_in,m5_in,1,l1,k5,14.019114
source,m6_in,4,l1,k5,13.949783
source,m1_in,4,l2,k3,13.933892
source,m4_in,4,l2,k3,13.878568
source,m8_in,1,l1,k1,13.875935
m8_in,m1_in,1,l1,k1,13.875935
source,m2_in,4,l1,k2,13.853268
source,m9_in,3,l2,k4,13.822761
m9_in,m9_q_l2,3,l2,k4,13.822761
m9_q_l2,ss,3,l2,k4,13.822761
source,m2_in,2,l2,k4,13.754568
m2_in,m2_q_l2,2,l2,k4,13.754568
m2_q_l2,ss,2,l2,k4,13.754568
