from,to,t_from,t_to,l,k,flow
m4_q_l2,m4_q_l2,6,7,l1,k4,20.539326
m5_q_l2,m5_q_l2,10,11,l1,k5,14.62644
m2_q_l2,m2_q_l2,4,5,l1,k2,14.310799
m4_q_l2,m4_q_l2,7,8,l1,k4,13.734588
m5_q_l2,m5_q_l2,3,4,l1,k5,13.530709
m5_q_l2,m5_q_l2,4,5,l1,k5,11.738562
m5_q_l2,m5_q_l2,8,9,l1,k5,11.580532
m5_q_l2,m5_q_l2,7,8,l1,k5,11.36969
m5_q_l2,m5_q_l2,9,10,l1,k5,9.4316218
m4_q_l2,m4_q_l2,2,3,l1,k4,9.3815481
m1_q_l2,m1_q_l2,9,10,l1,k1,9.0551228
m2_q_l2,m2_q_l2,2,3,l1,k2,8.8791171
m4_q_l2,m4_q_l2,5,6,l1,k4,8.6728516
m4_q_l2,m4_q_l2,4,5,l1,k4,8.6105656
m2_q_l2,m2_q_l2,3,4,l1,k2,7.9664324
m4_q_l2,m4_q_l2,8,9,l1,k4,7.9300427
m5_q_l2,m5_q_l2,2,3,l1,k5,6.9679251
m2_q_l2,m2_q_l2,5,6,l1,k2,6.8986387
m1_q_l2,m1_q_l2,1,2,l1,k1,6.8584927
m1_q_l2,m1_q_l2,6,7,l1,k1,3.8613921
m1_q_l2,m1_q_l2,2,3,l1,k1,3.752784
m2_q_l2,m2_q_l2,6,7,l1,k2,3.3528398
m2_q_l2,m2_q_l2,10,11,l1,k2,2.785611
m1_q_l2,m1_q_l2,10,11,l1,k1,2.6769522
m2_q_l2,m2_q_l2,1,2,l1,k2,2.6106013
m1_q_l2,m1_q_l2,4,5,l1,k1,0.70149018
m1_q_l2,m1_q_l2,8,9,l1,k1,0.57964386
m4_q_l2,m4_q_l2,9,10,l1,k4,0.0016532566
