from,to,t_from,t_to,l,k,flow
m2_q_l1,m2_q_l1,9,10,l1,k5,149.96315
m2_q_l1,m2_q_l1,10,11,l1,k5,149.96315
m2_q_l1,m2_q_l1,8,9,l1,k5,136.13534
m2_q_l1,m2_q_l1,7,8,l1,k5,116.76774
m1_q_l1,m1_q_l1,11,12,l1,k5,112.67807
m10_q_l1,m10_q_l1,11,12,l1,k2,102.46644
m2_q_l1,m2_q_l1,6,7,l1,k5,98.190208
m2_q_l1,m2_q_l1,6,7,l1,k4,92.226317
m10_q_l1,m10_q_l1,10,11,l1,k2,84.780046
m10_q_l1,m10_q_l1,8,9,l1,k2,80.35327
m10_q_l1,m10_q_l1,9,10,l1,k2,80.35327
m3_q_l1,m3_q_l1,7,8,l1,k3,80.0
m2_q_l1,m2_q_l1,7,8,l1,k4,80.0
m3_q_l1,m3_q_l1,9,10,l1,k4,80.0
m2_q_l1,m2_q_l1,5,6,l1,k4,75.824278
m1_q_l1,m1_q_l1,10,11,l1,k5,73.51961
m3_q_l1,m3_q_l1,11,12,l1,k5,73.160848
m4_q_l2,m4_q_l2,10,11,l1,k4,71.591244
m2_q_l1,m2_q_l1,11,12,l1,k5,69.963147
m3_q_l1,m3_q_l1,10,11,l1,k1,67.884088
m10_q_l1,m10_q_l1,7,8,l1,k2,63.638831
m3_q_l2,m3_q_l2,11,12,l1,k3,62.390758
m3_q_l1,m3_q_l1,11,12,l1,k2,62.371476
m1_q_l1,m1_q_l1,9,10,l1,k5,55.261477
m3_q_l1,m3_q_l1,10,11,l1,k5,54.852698
m4_q_l2,m4_q_l2,8,9,l1,k4,54.146045
m4_q_l2,m4_q_l2,11,12,l1,k4,52.585666
m5_q_l2,m5_q_l2,5,6,l1,k5,51.410627
m2_q_l1,m2_q_l1,11,12,l1,k4,49.008947
m3_q_l1,m3_q_l1,9,10,l1,k1,48.727041
m2_q_l1,m2_q_l1,3,4,l1,k3,46.512453
m3_q_l1,m3_q_l1,7,8,l1,k4,45.73552
m3_q_l1,m3_q_l1,8,9,l1,k4,45.73552
m10_q_l1,m10_q_l1,6,7,l1,k2,45.280823
m3_q_l1,m3_q_l1,8,9,l1,k1,44.794996
m3_q_l1,m3_q_l1,4,5,l1,k2,44.572196
m10_q_l1,m10_q_l1,8,9,l1,k5,43.497937
m1_q_l1,m1_q_l1,3,4,l1,k5,42.97318
m10_q_l1,m10_q_l1,11,12,l1,k5,40.952274
m5_q_l2,m5_q_l2,4,5,l1,k5,40.947297
m3_q_l1,m3_q_l1,5,6,l1,k2,40.922873
m3_q_l2,m3_q_l2,5,6,l1,k3,40.849799
m2_q_l1,m2_q_l1,9,10,l1,k1,39.326989
m1_q_l1,m1_q_l1,6,7,l1,k5,38.470007
m2_q_l1,m2_q_l1,8,9,l1,k2,37.892262
m5_q_l2,m5_q_l2,11,12,l1,k5,37.80454
m2_q_l1,m2_q_l1,5,6,l1,k5,37.458144
m10_q_l1,m10_q_l1,6,7,l1,k3,36.779401
m2_q_l1,m2_q_l1,8,9,l1,k3,36.299981
m3_q_l2,m3_q_l2,4,5,l1,k3,35.829882
m4_q_l2,m4_q_l2,9,10,l1,k4,35.426138
m3_q_l1,m3_q_l1,9,10,l1,k5,34.957123
m1_q_l2,m1_q_l2,3,4,l1,k1,33.733709
m2_q_l1,m2_q_l1,4,5,l1,k1,32.965126
m1_q_l1,m1_q_l1,10,11,l1,k4,31.684206
m1_q_l1,m1_q_l1,11,12,l1,k3,31.028683
m5_q_l2,m5_q_l2,10,11,l1,k5,29.436743
m3_q_l2,m3_q_l2,6,7,l1,k3,29.171047
m10_q_l1,m10_q_l1,5,6,l1,k4,28.473965
m10_q_l1,m10_q_l1,10,11,l1,k4,27.56968
m10_q_l1,m10_q_l1,5,6,l1,k2,27.501859
m2_q_l1,m2_q_l1,4,5,l1,k4,27.059951
m3_q_l1,m3_q_l1,6,7,l1,k5,26.514876
m2_q_l1,m2_q_l1,9,10,l1,k4,26.327039
m2_q_l1,m2_q_l1,10,11,l1,k4,26.327039
m1_q_l1,m1_q_l1,4,5,l1,k3,26.123652
m10_q_l1,m10_q_l1,7,8,l1,k5,25.415483
m1_q_l2,m1_q_l2,11,12,l1,k1,24.437167
m1_q_l1,m1_q_l1,7,8,l1,k2,23.751667
m1_q_l1,m1_q_l1,10,11,l1,k1,23.725939
m10_q_l1,m10_q_l1,4,5,l1,k4,22.864343
m10_q_l1,m10_q_l1,2,3,l1,k2,21.794807
m2_q_l1,m2_q_l1,10,11,l1,k3,21.693256
m2_q_l1,m2_q_l1,11,12,l1,k3,21.693256
m1_q_l2,m1_q_l2,9,10,l1,k1,21.225238
m1_q_l1,m1_q_l1,2,3,l1,k3,20.738932
m1_q_l1,m1_q_l1,1,2,l1,k5,20.701019
m3_q_l1,m3_q_l1,2,3,l1,k2,20.595583
m1_q_l1,m1_q_l1,8,9,l1,k5,19.752906
m2_q_l1,m2_q_l1,11,12,l1,k1,19.33465
m3_q_l1,m3_q_l1,3,4,l1,k4,18.919825
m3_q_l1,m3_q_l1,1,2,l1,k4,18.625365
m3_q_l2,m3_q_l2,2,3,l1,k3,18.538376
m3_q_l1,m3_q_l1,8,9,l1,k5,18.535676
m10_q_l1,m10_q_l1,9,10,l1,k4,18.490636
m2_q_l1,m2_q_l1,2,3,l1,k3,18.410775
m10_q_l1,m10_q_l1,10,11,l1,k5,18.383943
m10_q_l1,m10_q_l1,2,3,l1,k3,18.339014
m10_q_l1,m10_q_l1,9,10,l1,k1,18.251676
m2_q_l1,m2_q_l1,7,8,l1,k3,18.080726
