from,to,t,l,k,flow
m3_in,m3_q_l2,11,l1,k3,162.39076
m4_in,m4_q_l2,8,l1,k4,154.14604
m5_in,m5_q_l2,4,l1,k5,140.9473
m4_in,m4_q_l2,10,l1,k4,136.16511
m3_in,m3_q_l2,4,l1,k3,135.82988
m1_in,m1_q_l2,3,l1,k1,133.73371
m5_in,m5_q_l2,10,l1,k5,129.43674
m1_in,m1_q_l2,11,l1,k1,124.43717
m1_in,m1_q_l2,9,l1,k1,121.22524
m3_in,m3_q_l2,2,l1,k3,118.53838
m5_in,m5_q_l2,8,l1,k5,117.37934
m2_in,m2_q_l2,5,l1,k2,116.40527
m5_in,m5_q_l2,5,l1,k5,110.46333
m1_in,m1_q_l2,1,l1,k1,110.36799
m2_in,m2_q_l2,3,l1,k2,109.9641
m1_in,m1_q_l2,7,l1,k1,108.58569
m5_in,m5_q_l2,11,l1,k5,108.3678
m3_in,m3_q_l2,8,l1,k3,106.39143
m4_in,m4_q_l2,6,l1,k4,106.3539
m3_in,m3_q_l2,5,l1,k3,105.01992
m1_q_l2,ss,1,l1,k1,100.0
m2_in,m2_q_l2,1,l1,k2,100.0
m2_q_l2,ss,1,l1,k2,100.0
m3_in,m3_q_l2,1,l1,k3,100.0
m3_q_l2,ss,1,l1,k3,100.0
m4_in,m4_q_l2,1,l1,k4,100.0
m4_q_l2,ss,1,l1,k4,100.0
m5_in,m5_q_l2,1,l1,k5,100.0
m5_q_l2,ss,1,l1,k5,100.0
m1_q_l2,ss,2,l1,k1,100.0
m2_in,m2_q_l2,2,l1,k2,100.0
m2_q_l2,ss,2,l1,k2,100.0
m3_q_l2,ss,2,l1,k3,100.0
m4_in,m4_q_l2,2,l1,k4,100.0
m4_q_l2,ss,2,l1,k4,100.0
m5_in,m5_q_l2,2,l1,k5,100.0
m5_q_l2,ss,2,l1,k5,100.0
m1_q_l2,ss,3,l1,k1,100.0
m2_q_l2,ss,3,l1,k2,100.0
m3_q_l2,ss,3,l1,k3,100.0
m4_in,m4_q_l2,3,l1,k4,100.0
m4_q_l2,ss,3,l1,k4,100.0
m5_in,m5_q_l2,3,l1,k5,100.0
m5_q_l2,ss,3,l1,k5,100.0
m1_q_l2,ss,4,l1,k1,100.0
m2_q_l2,ss,4,l1,k2,100.0
m3_q_l2,ss,4,l1,k3,100.0
m4_in,m4_q_l2,4,l1,k4,100.0
m4_q_l2,ss,4,l1,k4,100.0
m5_q_l2,ss,4,l1,k5,100.0
m1_in,m1_q_l2,5,l1,k1,100.0
m1_q_l2,ss,5,l1,k1,100.0
m2_q_l2,ss,5,l1,k2,100.0
m3_q_l2,ss,5,l1,k3,100.0
m4_in,m4_q_l2,5,l1,k4,100.0
m4_q_l2,ss,5,l1,k4,100.0
m5_q_l2,ss,5,l1,k5,100.0
m1_in,m1_q_l2,6,l1,k1,100.0
m1_q_l2,ss,6,l1,k1,100.0
m2_q_l2,ss,6,l1,k2,100.0
m3_q_l2,ss,6,l1,k3,100.0
m4_q_l2,ss,6,l1,k4,100.0
m5_q_l2,ss,6,l1,k5,100.0
m1_q_l2,ss,7,l1,k1,100.0
m2_q_l2,ss,7,l1,k2,100.0
m3_q_l2,ss,7,l1,k3,100.0
m4_q_l2,ss,7,l1,k4,100.0
m5_in,m5_q_l2,7,l1,k5,100.0
m5_q_l2,ss,7,l1,k5,100.0
m1_q_l2,ss,8,l1,k1,100.0
m2_q_l2,ss,8,l1,k2,100.0
m3_q_l2,ss,8,l1,k3,100.0
m4_q_l2,ss,8,l1,k4,100.0
m5_q_l2,ss,8,l1,k5,100.0
m1_q_l2,ss,9,l1,k1,100.0
m2_in,m2_q_l2,9,l1,k2,100.0
m2_q_l2,ss,9,l1,k2,100.0
m3_q_l2,ss,9,l1,k3,100.0
m4_q_l2,ss,9,l1,k4,100.0
m5_q_l2,ss,9,l1,k5,100.0
m1_q_l2,ss,10,l1,k1,100.0
m2_in,m2_q_l2,10,l1,k2,100.0
m2_q_l2,ss,10,l1,k2,100.0
m3_in,m3_q_l2,10,l1,k3,100.0
m3_q_l2,ss,10,l1,k3,100.0
m4_q_l2,ss,10,l1,k4,100.0
m5_q_l2,ss,10,l1,k5,100.0
m1_q_l2,ss,11,l1,k1,100.0
m2_in,m2_q_l2,11,l1,k2,100.0
m2_q_l2,ss,11,l1,k2,100.0
m3_q_l2,ss,11,l1,k3,100.0
m4_q_l2,ss,11,l1,k4,100.0
m5_q_l2,ss,11,l1,k5,100.0
m2_in,m2_q_l2,7,l1,k2,99.301046
m2_in,m2_q_l2,6,l1,k2,96.000035
m4_in,m4_q_l2,7,l1,k4,93.646098
m3_in,m3_q_l2,9,l1,k3,93.608567
m1_in,m1_q_l2,8,l1,k1,91.414312
m2_in,m2_q_l2,4,l1,k2,90.035898
m1_in,m1_q_l2,2,l1,k1,89.632006
m3_in,m3_q_l2,6,l1,k3,88.321248
m2_in,m2_q_l2,8,l1,k2,88.293653
m5_in,m5_q_l2,9,l1,k5,82.62066
m3_in,m3_q_l2,3,l1,k3,81.461624
m4_in,m4_q_l2,9,l1,k4,81.280094
m4_in,m4_q_l2,11,l1,k4,80.994422
m3_q_l1,ss,8,l1,k3,80.0
m2_q_l1,ss,8,l1,k4,80.0
m2_q_l1,ss,10,l1,k1,80.0
m3_q_l1,ss,10,l1,k4,80.0
m3_q_l1,ss,11,l1,k1,80.0
m2_q_l1,ss,11,l1,k5,80.0
m1_in,m1_q_l2,10,l1,k1,78.774762
m3_q_l1,ss,6,l1,k2,78.301883
m3_in,m3_q_l2,7,l1,k3,70.828953
m3_in,m3_q_l1,7,l1,k3,68.839997
m3_q_l1,ss,9,l1,k2,67.228824
m1_in,m1_q_l1,9,l1,k3,67.157384
m1_q_l1,ss,9,l1,k3,67.157384
m1_in,m1_q_l2,4,l1,k1,66.266291
m10_q_l1,ss,7,l1,k3,65.403183
m2_q_l1,ss,4,l1,k3,64.309679
m1_q_l1,ss,4,l1,k5,63.622774
m10_q_l1,ss,11,l1,k4,63.475124
m3_q_l1,ss,3,l1,k2,62.363129
m1_q_l1,ss,7,l1,k5,62.133103
m2_q_l1,ss,5,l1,k1,61.850141
m10_q_l1,ss,9,l1,k5,61.121746
m2_in,m2_q_l1,6,l1,k5,60.732064
m1_q_l1,ss,10,l1,k2,56.493868
m1_q_l1,ss,12,l1,k5,56.339036
m1_q_l1,ss,11,l1,k4,56.274061
m2_in,m2_q_l1,1,l1,k3,56.009079
m2_q_l1,ss,1,l1,k3,56.009079
m10_q_l1,ss,4,l1,k1,55.919579
m1_q_l1,ss,3,l1,k3,53.746465
m2_in,m2_q_l1,7,l1,k1,53.412107
m2_q_l1,ss,7,l1,k1,53.412107
m10_q_l1,ss,6,l1,k1,51.526035
m10_q_l1,ss,12,l1,k2,51.233219
