from_loc,to_loc,flow
m3,m1,450.0868231
m4,m2,438.8446679
m5,m4,394.9260819
m5,m2,393.5537972
m3,m5,391.1346787
m1,m3,387.1727553
m3,m4,384.9692883
m4,m5,374.7692633
m5,m3,373.14603138
m9,m4,364.9511938
m7,m2,361.2051864
m1,m2,356.8251042
m9,m3,352.9185998
m4,m3,351.0074155
m9,m5,334.7400504
m3,m2,327.39996046
m1,m5,326.7673897
m9,m2,324.0535981
m7,m4,322.6643525
m6,m4,321.2292098
m6,m3,319.2967375
m6,m2,317.0826564
m7,m5,314.6710409
m8,m2,311.7960392
m9,m1,311.7458809
m8,m3,311.6165046
m8,m1,310.2939422
m4,m1,310.0691743
m6,m1,308.6291254
m2,m1,296.3775126
m1,m4,292.689739
m8,m5,291.1030661
m7,m1,287.5846951
m10,m1,285.55864729
m6,m5,280.6609044
m2,m4,274.8128539
m2,m3,274.80632760000003
m2,m5,272.12905314
m8,m4,267.287639
m7,m3,259.8256215
