from_loc,to_loc,flow
m4,m2,162.5461167
m3,m1,153.3679055
m3,m4,147.1895055
m5,m4,142.6464314
m5,m2,139.3129178
m1,m3,136.7314165
m5,m3,133.6772216
m2,m1,129.8520955
m2,m5,126.3581496
m3,m5,124.6286182
m4,m3,123.3212742
m10,m4,123.317367
m9,m4,122.3322153
m9,m3,117.6395324
m3,m2,117.0539996
m9,m5,117.0462631
m7,m2,114.1057277
m4,m5,113.7193386
m1,m5,113.51709480000001
m6,m3,112.8872315
m8,m3,111.3228513
m10,m1,110.9464732
m9,m2,109.7215108
m7,m4,108.5365471
m6,m2,108.1069145
m1,m2,107.6337642
m6,m4,107.0764038
m10,m5,106.81581010000001
m8,m1,106.4871182
m2,m4,105.8847239
m2,m3,105.3108803
m10,m2,104.5829287
m7,m5,104.382878
m9,m1,103.9152934
m1,m4,103.5918835
m4,m1,103.3563919
m6,m1,103.2874952
m8,m2,102.123742
m10,m3,99.1576966
m7,m1,98.3826585
