from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,17.566658,356.8251042,387.1727553,292.689739,326.7673897,38.6401352,40.7448791,49.7691933,36.9722555
m10,285.55864729,0.0,191.341438,220.304981,258.1466514,233.3386246,0.0,0.0,0.0,0.0
m2,296.3775126,37.1498215,0.0,274.80632760000003,274.8128539,272.12905314,44.591142000000005,33.8665922,47.8979918,42.317871100000005
m3,450.0868231,56.7142767,327.39996046,0.0,384.9692883,391.1346787,12.560462,22.5926641,7.9095616,66.44273100000001
m4,310.0691743,71.1487439,438.8446679,351.0074155,0.0,374.7692633,20.7372443,59.9244493,47.570116,46.0256099
m5,258.08777779999997,31.973388489999998,393.5537972,373.14603138,394.9260819,0.0,54.8088883,61.508486500000004,29.151906,17.0661159
m6,308.6291254,27.8364035,317.0826564,319.2967375,321.2292098,280.6609044,0.0,0.0,0.0,0.0
m7,287.5846951,0.0,361.2051864,259.8256215,322.6643525,314.6710409,0.0,0.0,0.0,0.0
m8,310.2939422,26.152823097,311.7960392,311.6165046,267.287639,291.1030661,0.0,0.0,0.0,0.0
m9,311.7458809,23.5551243,324.0535981,352.9185998,364.9511938,334.7400504,0.0,0.0,0.0,0.0
