location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,2956.083952,0.0,0.0,0.0,0.0,8.8329091,400.4197083,468.5182101,319.0460055,366.41672719999997
m10,57.681541800000005,196.9157018,94.5845892,115.6146743,112.5982028,312.3211343,367.4202762,348.1437408,387.82518650000003,337.4490586
m2,79.707759,3086.60873702,119.1023723,81.0531706,68.31607975,351.6054959,0.0,320.427352,435.9495716,363.3906284
m3,0.0,0.0,3030.811636,0.0,0.0,385.4150007,352.5202984,5.8233759,370.0304895,451.0661113
m4,0.0,0.0,0.0,3045.001762,0.0,305.8987866,358.4713719,369.22882880000003,0.0,371.9466076
m5,0.0,0.0,0.0,0.0,3020.610221,391.9122283,360.3956986,372.5152942,371.9985782,0.0
m6,0.0,0.0,0.0,0.0,0.0,386.3917324,382.7880429,378.7017754,340.2957692,378.9264274
m7,0.0,4.1897185,39.7188067,0.0,0.7612032,381.78738119999997,312.1389295,345.77611989999997,389.8300925,357.3485989
m8,0.0,0.0,0.0,0.0,0.0,328.1605869,430.7413823,355.3548299,356.9209752,380.4127678
m9,0.0,0.0,0.0,0.0,0.0,377.195857,390.2188919,368.695266,421.2170358,300.3971289
