location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,1031.157751,0.0,0.0,0.0,0.0,0.0,140.8093135,159.1870536,106.3486682,118.7189576
m10,0.0,0.0,0.0,0.0,0.0,98.2514924,110.0901505,114.1310452,132.9206173,108.5967242
m2,0.0,1091.715,0.0,0.0,0.0,109.7437874,0.0,111.661931,158.9492605,130.8459445
m3,0.0,0.0,1055.020328,0.0,0.0,136.1454982,108.9240573,0.0,131.3829411,151.2916633
m4,0.0,0.0,0.0,1080.556535,0.0,104.1450075,112.2666464,140.6923366,0.0,134.98660710000001
m5,0.0,0.0,0.0,0.0,1066.667365,135.2320424,133.0083369,118.422156,109.76555450000001,0.0
m6,0.0,0.0,0.0,0.0,0.0,125.6052391,140.8735105,122.0471048,106.51950839999999,108.03918
m7,0.0,4.1897185,39.7188067,0.0,0.7612032,113.6808339,92.757446,107.7278187,125.2979647,127.9116089
m8,0.0,0.0,0.0,0.0,0.0,121.7413923,156.4209328,115.8150885,117.1627241,117.0869538
m9,0.0,0.0,0.0,0.0,0.0,131.9617473,123.2211395,121.3770629,142.690662,104.9737135
