from_loc,to_loc,flow
m3,m1,766.8395275
m4,m2,738.2424535
m3,m4,735.9475275
m5,m4,713.232157
m5,m2,696.564589
m1,m3,683.6570825
m5,m3,668.386108
m2,m1,649.2604775
m4,m3,636.547344
m2,m5,631.790748
m3,m5,623.143091
m10,m4,616.586835
m9,m4,611.6610765
m7,m2,591.477232
m9,m3,588.197662
m3,m2,585.269998
m9,m5,585.2313155
m4,m5,568.596693
m1,m5,567.585474
m6,m3,564.4361575
m10,m1,554.732366
m9,m2,548.607554
m7,m4,542.6827355
m6,m2,540.5345725
m1,m2,538.168821
m6,m4,535.382019
m10,m5,534.0790505
m8,m1,532.435591
m2,m4,529.4236195
m2,m3,526.5544015
m7,m5,525.720405
m10,m2,522.9146435
m9,m1,519.576467
m1,m4,517.9594175
m4,m1,516.7819595
m6,m1,516.437476
m10,m3,495.788483
m7,m3,492.5635635
m7,m1,491.9132925
m8,m2,489.6701175
