from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,0.0,538.168821,683.6570825,517.9594175,567.585474,48.4402005,0.0,144.7213025,92.7694005
m10,554.732366,0.0,522.9146435,495.788483,616.586835,534.0790505,0.0,0.0,0.0,0.0
m2,649.2604775,0.0,0.0,526.5544015,529.4236195,631.790748,140.706045,0.0,144.032345,36.2706705
m3,766.8395275,61.72515,585.269998,0.0,735.9475275,623.143091,0.0,0.0,0.0,103.13109
m4,516.7819595,103.74770749999999,738.2424535,636.547344,0.0,568.596693,0.0,144.45806,70.31933809,88.1342645
m5,451.9996255,0.0,696.564589,668.386108,713.232157,0.0,0.0,107.5381005,0.0,52.65021
m6,516.437476,0.0,540.5345725,564.4361575,535.382019,467.768172,0.0,0.0,0.0,0.0
m7,491.9132925,0.0,591.477232,492.5635635,542.6827355,525.720405,0.0,0.0,0.0,0.0
m8,532.435591,0.0,489.6701175,358.1107035,445.5763605,481.36576,0.0,0.0,0.0,0.0
m9,519.576467,0.0,548.607554,588.197662,611.6610765,585.2313155,0.0,0.0,0.0,0.0
