from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,0.0,107.6337642,136.7314165,103.5918835,113.51709480000001,9.6880401,0.0,28.9442605,18.5538801
m10,110.9464732,0.0,104.5829287,99.1576966,123.317367,106.81581010000001,0.0,0.0,0.0,0.0
m2,129.8520955,0.0,0.0,105.3108803,105.8847239,126.3581496,28.141209,0.0,28.806469,7.2541341
m3,153.3679055,12.34503,117.0539996,0.0,147.1895055,124.6286182,0.0,0.0,0.0,20.626218
m4,103.3563919,20.7495415,147.6484907,127.3094688,0.0,113.7193386,0.0,28.891612000000002,14.063867618,17.6268529
m5,90.3999251,0.0,139.3129178,133.6772216,142.6464314,0.0,0.0,21.5076201,0.0,10.530042
m6,103.2874952,0.0,108.1069145,112.8872315,107.0764038,93.5536344,0.0,0.0,0.0,0.0
m7,98.3826585,0.0,118.2954464,98.5127127,108.5365471,105.144081,0.0,0.0,0.0,0.0
m8,106.4871182,0.0,97.9340235,71.6221407,89.1152721,96.273152,0.0,0.0,0.0,0.0
m9,103.9152934,0.0,109.7215108,117.6395324,122.3322153,117.0462631,0.0,0.0,0.0,0.0
