location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,5155.788755,0.0,0.0,0.0,0.0,0.0,704.0465675,795.935268,531.743341,632.547878
m10,0.0,0.0,0.0,0.0,0.0,491.257462,550.4507525,570.655226,664.6030865,542.983621
m2,0.0,5458.575,0.0,0.0,0.0,548.718937,0.0,558.309655,720.2581775,654.2297225
m3,0.0,0.0,5275.10164,0.0,0.0,680.727491,544.6202865,0.0,656.9147055,756.4583165
m4,0.0,0.0,0.0,5402.7826749999995,0.0,520.7250375,561.333232,703.461683,0.0,674.9330355
m5,0.0,0.0,0.0,0.0,5333.336825,676.160212,665.0416845,592.11078,548.8277725,0.0
m6,0.0,0.0,0.0,0.0,0.0,628.0261955,704.3675525,610.2355239999999,532.597542,540.1959
m7,0.0,0.0,0.0,0.0,0.0,568.4041695,463.78723,538.6390935,700.9779525,600.604957
m8,0.0,20.9485925,198.5940335,0.0,3.8060159999999996,608.7069615,782.104664,579.0754425,585.8136205,585.434769
m9,0.0,0.0,0.0,0.0,0.0,659.8087365,616.1056975,606.8853145,713.45331,524.8685675
