scenario,status,feasible,MAX_CSAM_FACILITIES,demand_mean,demand_variance,F_cost,SEED,objective,subproblem_cost,deployment_cost,deployed_count,deployed_facilities,budget_slack,total_demand,unmet_demand,unmet_demand_pct,unmet_in,unmet_queue,iterations,runtime_seconds,run_id,experiment_dir,scenario_name,max_csam_facilities,seed,demand_scale,flow_files,report_files
csam10_dm12.0_dv16.0_F100_s123,feasible,True,10,12.0,16.0,100,123,78201.19099170003,78001.19099170003,200.0,2.0,"m1,m2",8.0,14255.137737688196,0.0,0.0,0.0,0.0,20,160.1478807926178,2026-06-19_100335_sweep_csam10_dm12.0_dv16.0_F100_s123,experiments\2026-06-19_100335_sweep_csam10_dm12.0_dv16.0_F100_s123,csam10_dm12.0_dv16.0_F100_s123,10,123,1.0,"{'regular': 'experiments\\2026-06-19_100335_sweep_csam10_dm12.0_dv16.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_100335_sweep_csam10_dm12.0_dv16.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_100335_sweep_csam10_dm12.0_dv16.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_100335_sweep_csam10_dm12.0_dv16.0_F100_s123\\reports\\run_report.pdf'}"
csam10_dm12.0_dv16.0_F100_s42,feasible,True,10,12.0,16.0,100,42,85301.36667587011,85101.36673787018,200.0,2.0,"m1,m10",8.0,14585.199705445524,0.0,0.0,0.0,0.0,20,157.2125632762909,2026-06-19_095819_sweep_csam10_dm12.0_dv16.0_F100_s42,experiments\2026-06-19_095819_sweep_csam10_dm12.0_dv16.0_F100_s42,csam10_dm12.0_dv16.0_F100_s42,10,42,1.0,"{'regular': 'experiments\\2026-06-19_095819_sweep_csam10_dm12.0_dv16.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_095819_sweep_csam10_dm12.0_dv16.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_095819_sweep_csam10_dm12.0_dv16.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_095819_sweep_csam10_dm12.0_dv16.0_F100_s42\\reports\\run_report.pdf'}"
csam10_dm12.0_dv16.0_F100_s456,feasible,True,10,12.0,16.0,100,456,80572.85519202014,80372.85519202014,200.0,2.0,"m1,m10",8.0,14405.859019802248,0.0,0.0,0.0,0.0,20,158.24899005889893,2026-06-19_100057_sweep_csam10_dm12.0_dv16.0_F100_s456,experiments\2026-06-19_100057_sweep_csam10_dm12.0_dv16.0_F100_s456,csam10_dm12.0_dv16.0_F100_s456,10,456,1.0,"{'regular': 'experiments\\2026-06-19_100057_sweep_csam10_dm12.0_dv16.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_100057_sweep_csam10_dm12.0_dv16.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_100057_sweep_csam10_dm12.0_dv16.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_100057_sweep_csam10_dm12.0_dv16.0_F100_s456\\reports\\run_report.pdf'}"
csam10_dm12.0_dv4.0_F100_s123,feasible,True,10,12.0,4.0,100,123,80422.8586729549,80222.8586729549,200.0,2.0,"m1,m10",8.0,14326.772648170952,0.0,0.0,0.0,0.0,20,158.7693636417389,2026-06-19_094746_sweep_csam10_dm12.0_dv4.0_F100_s123,experiments\2026-06-19_094746_sweep_csam10_dm12.0_dv4.0_F100_s123,csam10_dm12.0_dv4.0_F100_s123,10,123,1.0,"{'regular': 'experiments\\2026-06-19_094746_sweep_csam10_dm12.0_dv4.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_094746_sweep_csam10_dm12.0_dv4.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_094746_sweep_csam10_dm12.0_dv4.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_094746_sweep_csam10_dm12.0_dv4.0_F100_s123\\reports\\run_report.pdf'}"
csam10_dm12.0_dv4.0_F100_s42,feasible,True,10,12.0,4.0,100,42,83990.35270049996,83790.35270049996,200.0,2.0,"m1,m10",8.0,14492.117318042623,0.0,0.0,0.0,0.0,20,156.41940307617188,2026-06-19_094233_sweep_csam10_dm12.0_dv4.0_F100_s42,experiments\2026-06-19_094233_sweep_csam10_dm12.0_dv4.0_F100_s42,csam10_dm12.0_dv4.0_F100_s42,10,42,1.0,"{'regular': 'experiments\\2026-06-19_094233_sweep_csam10_dm12.0_dv4.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_094233_sweep_csam10_dm12.0_dv4.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_094233_sweep_csam10_dm12.0_dv4.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_094233_sweep_csam10_dm12.0_dv4.0_F100_s42\\reports\\run_report.pdf'}"
csam10_dm12.0_dv4.0_F100_s456,feasible,True,10,12.0,4.0,100,456,81627.16649739999,81427.16649739999,200.0,2.0,"m1,m10",8.0,14402.929509901125,0.0,0.0,0.0,0.0,20,156.75339341163635,2026-06-19_094509_sweep_csam10_dm12.0_dv4.0_F100_s456,experiments\2026-06-19_094509_sweep_csam10_dm12.0_dv4.0_F100_s456,csam10_dm12.0_dv4.0_F100_s456,10,456,1.0,"{'regular': 'experiments\\2026-06-19_094509_sweep_csam10_dm12.0_dv4.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_094509_sweep_csam10_dm12.0_dv4.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_094509_sweep_csam10_dm12.0_dv4.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_094509_sweep_csam10_dm12.0_dv4.0_F100_s456\\reports\\run_report.pdf'}"
csam10_dm12.0_dv9.0_F100_s123,feasible,True,10,12.0,9.0,100,123,79296.41556085012,79096.41559145013,200.0,2.0,"m1,m2",8.0,14290.15897225643,0.0,0.0,0.0,0.0,20,157.03745555877686,2026-06-19_095542_sweep_csam10_dm12.0_dv9.0_F100_s123,experiments\2026-06-19_095542_sweep_csam10_dm12.0_dv9.0_F100_s123,csam10_dm12.0_dv9.0_F100_s123,10,123,1.0,"{'regular': 'experiments\\2026-06-19_095542_sweep_csam10_dm12.0_dv9.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_095542_sweep_csam10_dm12.0_dv9.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_095542_sweep_csam10_dm12.0_dv9.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_095542_sweep_csam10_dm12.0_dv9.0_F100_s123\\reports\\run_report.pdf'}"
csam10_dm12.0_dv9.0_F100_s42,feasible,True,10,12.0,9.0,100,42,84635.52893490001,84435.52893490001,200.0,2.0,"m1,m10",8.0,14538.175977063936,0.0,0.0,0.0,0.0,20,159.0681927204132,2026-06-19_095025_sweep_csam10_dm12.0_dv9.0_F100_s42,experiments\2026-06-19_095025_sweep_csam10_dm12.0_dv9.0_F100_s42,csam10_dm12.0_dv9.0_F100_s42,10,42,1.0,"{'regular': 'experiments\\2026-06-19_095025_sweep_csam10_dm12.0_dv9.0_F100_s42\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_095025_sweep_csam10_dm12.0_dv9.0_F100_s42\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_095025_sweep_csam10_dm12.0_dv9.0_F100_s42\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_095025_sweep_csam10_dm12.0_dv9.0_F100_s42\\reports\\run_report.pdf'}"
csam10_dm12.0_dv9.0_F100_s456,feasible,True,10,12.0,9.0,100,456,81096.13055125001,80896.13055125001,200.0,2.0,"m1,m10",8.0,14404.394264851688,0.0,0.0,0.0,0.0,20,157.86245489120483,2026-06-19_095304_sweep_csam10_dm12.0_dv9.0_F100_s456,experiments\2026-06-19_095304_sweep_csam10_dm12.0_dv9.0_F100_s456,csam10_dm12.0_dv9.0_F100_s456,10,456,1.0,"{'regular': 'experiments\\2026-06-19_095304_sweep_csam10_dm12.0_dv9.0_F100_s456\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_095304_sweep_csam10_dm12.0_dv9.0_F100_s456\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_095304_sweep_csam10_dm12.0_dv9.0_F100_s456\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_095304_sweep_csam10_dm12.0_dv9.0_F100_s456\\reports\\run_report.pdf'}"
csam10_dm15.0_dv16.0_F100_s123,feasible,True,10,15.0,16.0,100,123,119549.05979829999,119195.6033207999,400.0,4.0,"m1,m2,m3,m10",6.0,17853.545296341905,0.0,0.0,0.0,0.0,20,155.52165007591248,2026-06-19_102720_sweep_csam10_dm15.0_dv16.0_F100_s123,experiments\2026-06-19_102720_sweep_csam10_dm15.0_dv16.0_F100_s123,csam10_dm15.0_dv16.0_F100_s123,10,123,1.0,"{'regular': 'experiments\\2026-06-19_102720_sweep_csam10_dm15.0_dv16.0_F100_s123\\visualizations\\flows_regular.csv', 'qq': 'experiments\\2026-06-19_102720_sweep_csam10_dm15.0_dv16.0_F100_s123\\visualizations\\flows_qq.csv'}","{'markdown': 'experiments\\2026-06-19_102720_sweep_csam10_dm15.0_dv16.0_F100_s123\\reports\\run_report.md', 'pdf': 'experiments\\2026-06-19_102720_sweep_csam10_dm15.0_dv16.0_F100_s123\\reports\\run_report.pdf'}"
