from_loc,to_loc,flow
m7,m1,650.4797103
m7,m2,566.8680544
m5,m2,512.05649827
m5,m4,511.807731
m4,m1,483.768148354
m6,m2,476.29499020000003
m7,m4,473.669447069
m7,m3,471.269236
m7,m5,465.7445393
m4,m3,459.64617237
m6,m3,440.2045123
m9,m3,436.09172682999997
m5,m3,435.0000098
m4,m5,429.12272310000003
m3,m4,425.37038806
m3,m5,420.7763499
m9,m4,418.6945448
m4,m2,405.0355503
m8,m2,400.3593531
m9,m5,400.0195976
m6,m1,399.7949974
m8,m4,387.0822664
m8,m1,385.47094388
m3,m1,382.2727737
m9,m2,378.29083938
m8,m5,360.10702925
m5,m1,346.86643004
m6,m5,346.6581375
m8,m3,340.14834499
m6,m4,328.8657921
m3,m2,328.09559822
m9,m1,325.0140734
m10,m1,294.7487399
m10,m5,279.42363318
m2,m1,272.85506300000003
m10,m4,272.1506022
m2,m3,261.806830558
m10,m3,245.9159573
m2,m4,224.96109415
m10,m2,194.34093548
