from_loc,to_loc,flow
m4,m1,256.7765642
m3,m5,243.8931486
m7,m1,207.42040599999999
m4,m5,205.7066535
m2,m4,201.238742
m2,m3,197.131004
m3,m2,195.0397599
m4,m3,193.9364254
m10,m1,186.2786064
m4,m2,185.929563
m7,m5,172.0614503
m7,m2,171.619181
m2,m1,166.5410242
m10,m3,166.373094
m10,m5,164.099611
m3,m1,163.9114346
m7,m4,161.473174
m3,m4,158.2162826
m7,m3,157.4745388
m10,m4,151.735222
m10,m2,140.6748576
m2,m5,126.2030078
m6,m2,115.9716862
m5,m4,108.4450438
m5,m2,95.135979
m9,m3,85.55197793
m8,m3,72.504015
m2,m6,69.1760108
m5,m3,65.86156629999999
m6,m4,65.5611933
m9,m5,62.7322462
m9,m4,61.4457618
m2,m9,57.3692111
m3,m6,51.116650299999996
m1,m4,50.9285004
m8,m1,50.83332128
m1,m6,49.8814
m1,m2,49.7518198
m6,m3,49.5594366
m8,m2,46.1827836
