from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,115.36159959999999,137.0078768,185.9905872,163.3252776033,104.5370298,60.54898,33.339743999999996,67.30015499999999,50.269399
m10,294.7487399,0.0,194.34093548,245.9159573,272.1506022,279.42363318,25.558612,0.0,16.981273,9.6810255
m2,272.85506300000003,43.9034568,0.0,261.806830558,224.96109415,192.6143867,106.1966808,103.670134,85.4140763,97.7787131
m3,382.2727737,113.061025,328.09559822,0.0,425.37038806,420.7763499,74.1220887,35.14535,53.986142,106.9374606
m4,483.768148354,63.527715300000004,405.0355503,459.64617237,0.0,429.12272310000003,70.0703331,0.0,71.576829,41.4737833
m5,346.86643004,88.3506165,512.05649827,435.0000098,511.807731,0.0,40.089697,89.82929899999999,27.573144,25.264785
m6,399.7949974,69.2494777,476.29499020000003,440.2045123,328.8657921,346.6581375,0.0,0.0,0.0,0.0
m7,650.4797103,12.729954659999999,566.8680544,471.269236,473.669447069,465.7445393,8.5115224,0.0,6.7958239,0.0
m8,385.47094388,36.106533999999996,400.3593531,340.14834499,387.0822664,360.10702925,34.557691,0.0,0.0,0.0
m9,325.0140734,46.8613699,378.29083938,436.09172682999997,418.6945448,400.0195976,0.0,0.0,0.0,0.0
