from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,17.166732,49.7518198,30.026919,50.9285004,28.195081400000003,49.8814,33.339743999999996,32.228388,35.715986
m10,186.2786064,0.0,140.6748576,166.373094,151.735222,164.099611,25.558612,0.0,16.981273,9.6810255
m2,166.5410242,0.0,0.0,197.131004,201.238742,126.2030078,69.1760108,35.006796,21.541671299999997,57.3692111
m3,163.9114346,37.4549064,195.0397599,0.0,158.2162826,243.8931486,51.116650299999996,0.0,0.0,36.2158306
m4,256.7765642,0.0,185.929563,193.9364254,0.0,205.7066535,38.1645305,0.0,0.0,6.8189513
m5,44.283117000000004,39.535061,95.135979,65.86156629999999,108.4450438,0.0,0.0,27.989466,12.695607,0.0
m6,29.05905,0.0,115.9716862,49.5594366,65.5611933,39.1512997,0.0,0.0,0.0,0.0
m7,207.42040599999999,0.0,171.619181,157.4745388,161.473174,172.0614503,8.5115224,0.0,6.7958239,0.0
m8,50.83332128,0.0,46.1827836,72.504015,18.8269641,37.1336455,34.557691,0.0,0.0,0.0
m9,25.727024200000002,0.0,16.5192481,85.55197793,61.4457618,62.7322462,0.0,0.0,0.0,0.0
