location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,3308.7046075,572.0067643,527.8211663,487.91625373,616.8962876,0.0,645.882229,640.556504,608.3731015,629.6681618
m10,342.44620998,300.2095485,383.8016251,261.6759328,254.68884693,627.3870383,586.4087264,617.6524448,559.8633082,563.3218062
m2,328.9523486,3338.0154661,456.390564,360.3765142,340.2726141,564.1820286,0.0,497.5499171,610.9500448,620.1319855
m3,211.1827125,234.993239,3308.093479,181.9293134,214.3861078,631.5448763,637.3283279999999,0.0,575.9453128,619.4269705
m4,325.95962149999997,134.5748505,183.58149108,3306.107761,200.36430719999998,618.8322675,598.726536,521.03189,0.0,605.8952582
m5,164.1668902,79.1088772,158.629366,108.740074,3327.6809881,560.5801883,516.0073246,529.8729956,691.7407173,0.0
m6,204.890021,71.51378940000001,141.9055336,126.6085758,152.679283,514.1632037,575.7123926,579.3758182,592.8322146,484.54578730000003
m7,0.0,0.0,0.0,0.0,0.0,557.4658762,681.0450967,584.1043655,517.96245,640.2910782
m8,101.01131684,118.0740601,96.73331,140.1350191,152.7992529,637.204025,623.3173404,622.273566,564.9605834,581.716582
m9,142.018642,171.0941099,108.968087,119.7268583,130.844466,646.24703,588.537974,614.3266704,587.6741169000001,546.7484728000001
