location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,1100.0,137.5528792,182.4052443,102.528238,234.621376,0.0,212.606125,209.630509,229.77032,199.226232
m10,0.0,0.0,0.0,0.0,0.0,194.027865,185.5121088,215.5883158,175.4457691,214.1306426
m2,0.0,1100.0,0.0,0.0,0.0,182.1663757,0.0,176.45293379999998,201.36109,187.50383349999998
m3,0.0,0.0,1100.0,0.0,0.0,180.5584935,202.571548,0.0,193.8739206,216.8296925
m4,0.0,0.0,0.0,1100.0,0.0,186.639928,205.605758,155.308329,0.0,215.358228
m5,164.1668902,79.1088772,158.629366,108.740074,1127.6809881,184.728163,166.8532068,200.3385486,233.1049291,0.0
m6,204.890021,71.51378940000001,141.9055336,126.6085758,152.679283,201.0861412,214.2408653,201.257026,210.5434572,148.15203
m7,0.0,0.0,0.0,0.0,0.0,208.0484548,227.465117,182.986338,172.65415,211.4767262
m8,101.01131684,118.0740601,96.73331,140.1350191,152.7992529,222.196344,198.764483,189.42914199999998,164.4612521,197.410087
m9,142.018642,171.0941099,108.968087,119.7268583,130.844466,226.417078,204.036102,204.5902495,188.885729,173.8278959
