from_loc,to_loc,flow
m3,m1,422.6915325
m3,m4,412.421133462
m2,m4,398.5989928
m5,m3,392.7772342
m6,m3,389.2589436
m4,m2,388.4196916
m7,m1,380.8640983
m5,m4,372.3826567
m3,m5,369.2124292
m4,m5,361.6676907
m6,m2,355.8423177
m2,m3,354.1573133
m9,m3,352.1755155
m4,m1,351.4736077
m8,m5,348.2342469
m7,m5,347.13517079999997
m2,m1,339.838602
m2,m5,333.48259403
m4,m3,332.1006489
m9,m2,330.2794374
m3,m2,328.1407455
m7,m2,328.0670654
m8,m1,317.5584909
m5,m1,317.41188999999997
m6,m1,302.1243746
m9,m4,302.0238934
m9,m1,299.1271399
m8,m3,298.7336685
m5,m2,298.5635466
m7,m4,297.3146418
m6,m4,296.2824954
m8,m2,295.65399460000003
m8,m4,292.7300094
m7,m3,288.46759888
m1,m5,282.1561993
m1,m4,280.3126226
m6,m5,278.217497
m9,m5,273.09454189999997
m1,m3,265.5995136
m10,m5,253.2358103
