from_loc,to_loc,flow
m3,m4,155.8089952
m3,m1,142.2535727
m5,m4,134.4677654
m1,m5,133.85461
m2,m5,130.3903674
m6,m3,129.7529812
m2,m1,129.7006041
m1,m3,127.73249
m4,m2,126.8221746
m7,m1,125.7953104
m5,m3,124.13278389999999
m4,m3,122.9326512
m2,m4,122.1450277
m10,m5,119.927202
m3,m5,119.62048419999999
m4,m1,118.7983533
m6,m2,118.61410599999999
m8,m5,118.1116135
m7,m5,115.7117236
m10,m1,115.3501473
m2,m3,115.0247249
m5,m1,114.2845841
m1,m4,113.924035
m3,m2,113.6168042
m7,m2,109.3556887
m4,m5,108.9226272
m9,m2,107.3809387
m6,m1,106.7411678
m5,m2,106.6767947
m10,m3,105.4550934
m8,m1,104.7106103
m10,m4,104.5373713
m1,m2,104.4069796
m9,m3,104.3954174
m7,m3,104.0494673
m8,m3,102.4724275
m7,m4,99.1048803
m6,m4,98.7608324
m8,m2,98.5513317
m8,m4,97.5766702
