from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,18.753647899999997,252.636066,265.5995136,280.3126226,282.1561993,57.4213168,54.2472246,59.4935677,48.755408620000004
m10,225.8872316,0.0,211.50167176,218.7239412,212.2644112,253.2358103,0.0,0.0,0.0,0.0
m2,339.838602,51.71883579,0.0,354.1573133,398.5989928,333.48259403,22.903972,61.537331,51.715339900000004,23.0138186
m3,422.6915325,35.86236705,328.1407455,0.0,412.421133462,369.2124292,0.0,17.0867384,13.01785,60.3703966
m4,351.4736077,73.9514339,388.4196916,332.1006489,0.0,361.6676907,37.4450559,49.8102881,35.8226977,35.8074292
m5,317.41188999999997,17.5400735,298.5635466,392.7772342,372.3826567,0.0,65.98909929999999,45.7818198,20.992100100000002,31.8155042
m6,302.1243746,30.2602611,355.8423177,389.2589436,296.2824954,278.217497,0.0,0.0,0.0,0.0
m7,380.8640983,20.2026383,328.0670654,288.46759888,297.3146418,347.13517079999997,0.0,0.0,0.0,0.0
m8,317.5584909,11.357549500000001,295.65399460000003,298.7336685,292.7300094,348.2342469,0.0,0.0,0.0,0.0
m9,299.1271399,11.857317,330.2794374,352.1755155,302.0238934,273.09454189999997,0.0,0.0,0.0,0.0
