from_loc,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9
m1,0.0,0.0,104.4069796,127.73249,113.924035,133.85461,15.834107,0.0,36.1999088,21.97055922
m10,115.3501473,0.0,90.76691220000001,105.4550934,104.5373713,119.927202,0.0,0.0,0.0,0.0
m2,129.7006041,0.0,0.0,115.0247249,122.1450277,130.3903674,22.903972,0.0,15.562864,9.9280406
m3,142.2535727,4.3411633,113.6168042,0.0,155.8089952,119.62048419999999,0.0,0.0,0.0,18.7449894
m4,118.7983533,29.789646,126.8221746,122.9326512,0.0,108.9226272,7.3604189,18.9905787,11.504571,10.378494
m5,114.2845841,0.0,106.6767947,124.13278389999999,134.4677654,0.0,0.0,19.2289148,0.0,22.2937987
m6,106.7411678,0.0,118.61410599999999,129.7529812,98.7608324,96.79287670000001,0.0,0.0,0.0,0.0
m7,125.7953104,0.0,109.3556887,104.0494673,99.1048803,115.7117236,0.0,0.0,0.0,0.0
m8,104.7106103,0.0,98.5513317,102.4724275,97.5766702,118.1116135,0.0,0.0,0.0,0.0
m9,92.6577607,0.0,107.3809387,104.3954174,92.1707283,77.2060838,0.0,0.0,0.0,0.0
