location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,2999.855594,93.7806065,111.5602295,62.0074465,108.8062243,12.888766,429.9856398,467.1169143,342.0205931,410.2555276
m10,184.0651513,64.22718128,129.9209262,111.2966294,140.1627987,350.69119969999997,379.67425934,360.2274855,377.6091892,333.8594221
m2,0.0,2951.947268,0.0,0.0,0.0,327.5433836,0.0,286.3203795,431.2432125,331.8243704
m3,0.0,0.0,3096.145234,0.0,0.0,376.13352873,367.133597,4.3548332,302.4409811,389.82406604
m4,0.0,0.0,0.0,2973.852298,0.0,378.2275522,420.32083240000003,357.1646641,0.0,396.1085803
m5,0.0,0.0,0.0,0.0,3108.969024,341.697019,346.5318211,324.56986770000003,412.1862079,0.0
m6,0.0,0.0,0.0,0.0,0.0,331.7032243,321.911188,333.5025224,365.9201538,333.3311642
m7,0.0,0.0,0.0,0.0,0.0,381.3418226,428.5685574,362.805999,372.2821219,392.6281585
m8,0.0,0.0,0.0,0.0,0.0,420.921468,391.4808453,373.2334177,339.8605104,370.5996798
m9,8.27470951,4.0683102,26.8170815,12.7558541,28.969022994,437.9187089,344.1177386,375.7620348,379.457679,350.3786278
