location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,1055.790442,0.0,0.0,0.0,0.0,0.0,160.2005298,157.0620331,114.00686420000001,142.8682635
m10,0.0,0.0,0.0,0.0,0.0,110.6458504,117.1340816,115.9412191,139.3739732,108.9466873
m2,0.0,1033.9394790000001,0.0,0.0,0.0,100.5532351,0.0,99.6766819,138.395817,116.62103
m3,0.0,0.0,1094.664076,0.0,0.0,132.2026435,119.1051342,0.0,109.022367,127.5148238
m4,0.0,0.0,0.0,1040.548222,0.0,129.8585451,125.4202918,134.0738624,0.0,142.3764073
m5,0.0,0.0,0.0,0.0,1100.0,122.0198308,130.6839565,104.5775887,125.7621331,0.0
m6,0.0,0.0,0.0,0.0,0.0,107.2376626,122.5730434,111.1675074,116.75402799999999,89.1140225
m7,0.0,0.0,0.0,0.0,0.0,109.0315335,122.34374129999999,115.2397538,126.4811902,134.8443608
m8,0.0,0.0,0.0,0.0,0.0,156.675876,128.8180334,120.0718564,112.85050890000001,116.5358602
m9,8.27470951,4.0683102,26.8170815,12.7558541,28.969022994,151.1764568,116.9626812,123.8755361,124.9285771,124.115077
