from_loc,to_loc,flow
m2,m1,202.6353638
m5,m4,197.7783328
m3,m5,186.47447879999999
m4,m3,183.6687928
m1,m5,174.3809194
m1,m3,149.219345
m2,m4,149.1392434
m3,m2,140.5749036
m10,m2,140.3296004
m2,m5,138.370702
m7,m3,138.330375
m6,m4,137.8734052
m6,m1,137.7715096
m8,m1,131.4648604
m6,m5,131.2466756
m5,m3,130.8958222
m10,m1,130.0315714
m4,m5,126.68985420000001
m8,m2,126.3362114
m8,m4,126.2519588
m3,m1,121.6501466
m4,m1,119.847033
m10,m3,116.3763196
m10,m5,115.2520796
m9,m3,114.1163684
m5,m1,113.1667472
m9,m1,112.9923618
m7,m5,112.581688
m3,m4,112.3710352
m7,m4,112.1863342
m1,m2,110.6223728
m6,m2,109.1357088
m6,m3,108.485288
m10,m4,105.645
m7,m2,103.77969859999999
m1,m4,103.6962742
m7,m1,102.9240946
m2,m3,102.5481246
m5,m2,101.324355
m8,m3,96.3874122
