from_loc,to_loc,flow
m5,m4,52.2453492
m2,m1,50.9460048
m3,m5,49.3713877
m4,m3,46.2774091
m1,m5,45.7795206
m6,m4,42.011058
m7,m3,41.969631
m2,m4,41.1761757
m3,m2,38.539534
m4,m5,38.42845
m1,m3,37.128379
m6,m5,35.9936402
m2,m5,35.5141543
m1,m2,33.6462083
m10,m1,33.0928267
m8,m4,32.9174848
m6,m1,32.5222626
m5,m1,32.5207678
m10,m5,32.4416689
m4,m1,32.2974131
m10,m2,32.2574602
m5,m3,31.264306
m8,m2,31.1018193
m6,m2,30.745255399999998
m10,m3,30.674073800000002
m2,m3,30.4524908
m3,m1,30.3685343
m9,m3,30.3060652
m8,m1,28.3379932
m6,m3,28.158324
m10,m4,28.0525035
m3,m4,27.8239332
m9,m1,27.688337599999997
m1,m4,27.220162
m7,m4,25.221677200000002
m7,m2,24.9572578
m5,m2,24.6648861
m7,m1,22.1586481
m4,m2,21.6556565
m7,m5,21.623373
