from_loc,m1,m10,m2,m3,m4,m5,m6,m8,m9
m1,0.0,0.0,110.6223728,149.219345,103.6962742,174.3809194,40.544401199999996,0.0,0.0
m10,130.0315714,0.0,140.3296004,116.3763196,105.645,115.2520796,0.0,0.0,8.5966106
m2,202.6353638,0.0,0.0,102.5481246,149.1392434,138.370702,0.0,0.0,0.0
m3,121.6501466,0.0,140.5749036,0.0,112.3710352,186.47447879999999,0.0,0.0,31.915431199999997
m4,119.847033,44.672374,90.7017336,183.6687928,0.0,126.68985420000001,40.2622078,0.0,0.0
m5,113.1667472,0.0,101.324355,130.8958222,197.7783328,0.0,0.0,40.6980876,0.0
m6,137.7715096,0.0,109.1357088,108.485288,137.8734052,131.2466756,0.0,0.0,0.0
m7,102.9240946,0.0,103.77969859999999,138.330375,112.1863342,112.581688,0.0,0.0,0.0
m8,131.4648604,0.0,126.3362114,96.3874122,126.2519588,81.7980076,0.0,0.0,1.70756292
m9,112.9923618,0.0,91.4628286,114.1163684,84.72129699999999,87.5585862,0.0,0.0,0.0
