from_loc,m1,m10,m2,m3,m4,m5,m6,m8,m9
m1,0.0,0.0,33.6462083,37.128379,27.220162,45.7795206,9.2310646,0.0,0.0
m10,33.0928267,0.0,32.2574602,30.674073800000002,28.0525035,32.4416689,0.0,0.0,4.2983053
m2,50.9460048,0.0,0.0,30.4524908,41.1761757,35.5141543,0.0,0.0,0.0
m3,30.3685343,0.0,38.539534,0.0,27.8239332,49.3713877,0.0,0.0,8.9887629
m4,32.2974131,12.086974,21.6556565,46.2774091,0.0,38.42845,9.5063649,0.0,0.0
m5,32.5207678,0.0,24.6648861,31.264306,52.2453492,0.0,0.0,10.740638,0.0
m6,32.5222626,0.0,30.745255399999998,28.158324,42.011058,35.9936402,0.0,0.0,0.0
m7,22.1586481,0.0,24.9572578,41.969631,25.221677200000002,21.623373,0.0,0.0,0.0
m8,28.3379932,0.0,31.1018193,19.9065321,32.9174848,19.201712999999998,0.0,0.0,0.0
m9,27.688337599999997,0.0,15.217838,30.3060652,13.9011526,15.389230699999999,0.0,0.0,0.0
