location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,1190.769636,0.0,0.0,0.0,0.0,0.0,222.97143,127.0093318,108.2171034,110.407896
m10,0.0,0.0,0.0,0.0,0.0,102.3458554,132.543926,126.2442474,182.12538,105.2457524
m2,0.0,1135.637526,0.0,0.0,0.0,98.44635699999999,0.0,141.8981614,128.8226102,121.13972559999999
m3,0.0,0.0,1190.543134,0.0,0.0,152.0701574,127.06268539999999,0.0,174.9828568,132.96841799999999
m4,0.0,0.0,0.0,1150.053674,0.0,125.3292326,160.1345756,95.7952586,0.0,204.181753
m5,0.0,0.0,0.0,0.0,1150.654378,170.405206,104.1829056,212.9680854,125.09700360000001,0.0
m6,0.0,0.0,0.0,0.0,0.0,154.1969924,105.3407212,106.83100379999999,174.56237240000002,95.7817136
m7,0.0,0.0,0.0,0.0,0.0,135.8679134,128.1677084,116.3820214,123.634074,135.2963532
m8,0.0,0.0,0.0,0.0,0.0,142.8346634,122.001093,136.470674,124.4174806,167.7285968
m9,7.065397,45.426846,39.704607179999996,43.693446,12.4510828,117.117244,125.173029,176.7470638,124.9965718,123.77786400000001
