location,l1/k1,l1/k2,l1/k3,l1/k4,l1/k5,l2/k1,l2/k2,l2/k3,l2/k4,l2/k5
m1,299.866219,0.0,0.0,0.0,0.0,0.0,52.057496,25.8854469,28.0619735,30.5492122
m10,0.0,0.0,0.0,0.0,0.0,26.4646583,33.5100085,31.087351599999998,47.06488,24.3749081
m2,0.0,283.06487300000003,0.0,0.0,0.0,21.3777115,0.0,34.1052697,30.8916486,31.957738
m3,0.0,0.0,300.0,0.0,0.0,45.178951,28.5503122,0.0,42.070452,26.264795
m4,0.0,0.0,0.0,295.223113,0.0,33.1652269,39.1078577,23.1748089,0.0,52.8785925
m5,0.0,0.0,0.0,0.0,300.0,44.894085000000004,19.2627285,47.144336700000004,35.8202781,0.0
m6,0.0,0.0,0.0,0.0,0.0,35.6920322,22.4791682,30.233693000000002,42.7100635,17.8334042
m7,0.0,0.0,0.0,0.0,0.0,31.4341497,32.192007700000005,29.397703,26.247752,32.0019441
m8,0.0,0.0,0.0,0.0,0.0,40.261522,36.673386199999996,37.576976,29.0218791,43.5452386
m9,3.5326985,22.713423,3.5317488900000003,21.846723,6.2255414,24.624602499999998,25.9861024,43.3792639,27.7817839,34.8467281
